Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1879 August 4COMMA Bateman'sCOMMA to dear husband,1879-08-04,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1286,EvansCOMMA JonathanCOMMA 1843-1911,F,20-30,EvansCOMMA Anna CopeCOMMA 1875-1967; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; EvansCOMMA Francis AlgernonCOMMA 1878-1946; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,Tableaux; Children; Children and the sea; Seashore,Newport (R.I.); Fall River (Mass.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6315,6315,4446.cpd
1879 July 8COMMA Massey FarmCOMMA to Mother,1879-07-08,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1285,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,20-30,StokesCOMMA FrancisCOMMA 1833-1917; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; StokesCOMMA Hetty N. (Hetty Newlin)COMMA 1838-1899; CopeCOMMA MargaretCOMMA 1856-1948; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; StorkCOMMA Anna Brown CopeCOMMA b. 1862;,Henry; Martha; Lizzie Smith,Children; Health; Clothing and dress--Purchasing; Collecting of accounts,,Massey Farm (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6320,6320,4451.cpd
1879 August 12COMMA Bateman's PointCOMMA to Jonathan,1879-08-12,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1287,EvansCOMMA JonathanCOMMA 1843-1911,F,20-30,EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; KimberCOMMA Sophia; WhitallCOMMA Sarah C.COMMA b. 1863; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; ThomasCOMMA John Mickle WhitallCOMMA 1859-1919; EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919,Annie; B. Smith,Weather; Swimming; Children and the sea; Family; Newport (R.I.)--Description and Travel,,Bateman's Point (NewportCOMMA R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6326,6326,4457.cpd
1879 August 13COMMA Bateman's PointCOMMA to dear husband,1879-08-13,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1288,EvansCOMMA JonathanCOMMA 1843-1911,F,20-30,EvansCOMMA Hannah BaconCOMMA 1839-1939; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; StorkCOMMA Anna Brown CopeCOMMA b. 1862; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; SimpsonCOMMA JosephCOMMA 1835-1901; SimpsonCOMMA AgnesCOMMA 1839-1925; BrownCOMMA Susanna SansomCOMMA 1826-1909,Mr. Williamson,,Newport (R.I.); United States,Bateman's Point (NewportCOMMA R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6332,6332,4463.cpd
1879 August 16COMMA Bateman'sCOMMA to Father & Mother,1879-08-16,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1289,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,20-30,BiddleCOMMA Anna S.; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; HartshorneCOMMA HenryCOMMA 1823-1897; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA AlfredCOMMA 1857-1897;,S.B.,Drawing; Health,Newport (R.I.),,,Letter includes a drawing of Rachel Cope Evans writing a letterCOMMA aritst unknown.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6338,6338,4469.cpd
1879 August 29COMMA Bateman'sCOMMA to My dear husband,1879-08-29,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1290,EvansCOMMA JonathanCOMMA 1843-1911,F,20-30,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; StorkCOMMA Anna Brown CopeCOMMA b. 1862; EvansCOMMA Hannah BaconCOMMA 1839-1939; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,Homesickness; Newport (R.I.)--Description and Travel; Monkeys; Organ grinders; Drawing,Long Island Sound (N.Y. and Conn.); Newport (R.I.),Newport (R.I.),,Includes a drawing by Anna Cope Evans for her fatherCOMMA Jonathan Evans.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6346,6346,4477.cpd
1881 July 7COMMA Massey FarmCOMMA to Mother,1881-07-07,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1306,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,30-40,CopeCOMMA MargaretCOMMA 1856-1948; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA HenryCOMMA 1850-1924; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976; CopeCOMMA RuthannaCOMMA 1834-1879; MasonCOMMA Katharine Evans StokesCOMMA 1866-1947; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA AlfredCOMMA 1857-1897; StorkCOMMA Anna Brown CopeCOMMA b. 1862,G. Smith; Frank,Weather; Health; Outdoor recreation; Swimming; Child rearing,,Massey Farm (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6351,6351,4482.cpd
1880 July 5COMMA Dennis CottageCOMMA to My dear mother,1880-07-05,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1292,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,20-30,EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946,Nancy,Seashore; Clothing and dress; Clothing and dress--Care; Laundry,,Dennis Cottage (Atlantic CityCOMMA N.J.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6356,6356,4487.cpd
1880 July 2COMMA Mencola CottageCOMMA to My precious husband,1880-07-02,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1291,EvansCOMMA JonathanCOMMA 1843-1911,F,20-30,EvansCOMMA Francis AlgernonCOMMA 1878-1946; HartshorneCOMMA HenryCOMMA 1823-1897; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; EmlenCOMMA Eleanor CopeCOMMA 1854-1920; EvansCOMMA Anna CopeCOMMA 1875-1967,,Faith; Self-evaluation; DepressionCOMMA Mental; Letter writing; Society of Friends; Public worship--Society of Friends; Children--Health and hygiene; Children--Medical examinations; Medicine,Newport (R.I.);,Mencola Cottage (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6362,6362,4493.cpd
1880 July 21COMMA Dennis CottageCOMMA to My beloved husband,1880-07-21,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1293,EvansCOMMA JonathanCOMMA 1843-1911,F,20-30,EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967,Mary; K.,Children--Health and hygiene; Birthdays; Gifts; Atlantic City (N.J.)--Social life and customs,,Dennis Cottage (Atlantic CityCOMMA N.J.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6368,6368,4499.cpd
1880 August 1COMMA MontroseCOMMA to My beloved husband,1880-08-01,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1294,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,Health; Narrow gauge railroads; Railroad travel; Rural transportation; Country life,Montrose (Susquehanna CountyCOMMA Pa.); Tunkhannock (Pa.); Lehigh River (Pa.); Susquehanna River,Montrose (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6374,6374,4505.cpd
1880 August 1COMMA MontroseCOMMA to My dear husband,1880-08-01,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1295,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; HartshorneCOMMA HenryCOMMA 1823-1897,,Weather; Medicine; Children--Health and hygiene,Catskill Mountains (N.Y.); Overlook (N.Y.),Montrose (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6379,6379,4510.cpd
1880 August 3COMMA MontroseCOMMA to My dearest husband,1880-08-03,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1297,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; HotchkissCOMMA Anne MariaCOMMA b. 1832; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,,Atlantic City (N.J.),Montrose (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6387,6387,4518.cpd
1880 August 18COMMA MontroseCOMMA to My dearest Jonathan,1880-08-18,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1297,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; HartshorneCOMMA HenryCOMMA 1823-1897,Dr. D,Children--Health and hygiene; Health; Honesty; Letter writing; Faith; Bible--Quotations,,Montrose (Susquehanna CountyCOMMA Pa.),,The accompnaying note by Anna EvansCOMMA mentioned as to be sent with this letterCOMMA is not longer with it.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6393,6393,4524.cpd
1880 August 23COMMA MontroseCOMMA to My dearest husband,1880-08-23,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1298,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; WordsworthCOMMA WilliamCOMMA 1770-1850; ArnoldCOMMA ThomasCOMMA 1795-1842,,Faith; Spirituality; Quotations in literature; Bible--study and teaching; Leisure; Children--Health and hygiene,,Montrose (Susquehanna CountyCOMMA Pa.),,"Letter quotes from ""The Life and Correspondence of Thomas Arnold"" by Arthur Penrhyn Stanley [http://lccn.loc.gov/15012721]COMMA exact edition unknown. Also includes a quote from William Wordsworth's poem ""To the Rev. Dr. Wordsworth"".",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6399,6399,4530.cpd
1880 September 20COMMA MontroseCOMMA to My dearest husband,1880-09-20,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1303,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; HartshorneCOMMA HenryCOMMA 1823-1897,,,,Montrose (Susquehanna Country(Pa.).),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6404,6404,4535.cpd
1880 September 5COMMA MontroseCOMMA to My dear mother,1880-09-05,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1300,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,30-40,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Francis AlgernonCOMMA 1878-1946; HotchkissCOMMA Anne MariaCOMMA b. 1832; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; BrownCOMMA Susanna SansomCOMMA 1826-1909; BrownCOMMA Elizabeth H.COMMA b. 1840?,cousin Amy,Food habits; Children; Horses; Carriages and carts,Montrose (Susquehanna CountyCOMMA Pa.); Overlook (N.Y.); Catskill Mountains (N.Y.); Atlantic City (N.J.),Montrose (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6411,6411,4542.cpd
1881 June 27COMMA Massey FarmCOMMA to My own dearly beloved,1881-06-27,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1305,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,StokesCOMMA FrancisCOMMA 1833-1917; StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Hannah BaconCOMMA 1839-1939,Annie; Henry,Postal service; Children--Health and hygiene; Children; Homesickness,Darlington (Md.); Havre de Grace (Md.); Philadelphia (Pa.); Newport (R.I.),Massey Farm (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6417,6417,4548.cpd
1880 August 28COMMA to Papa,1880-08-28,EvansCOMMA Francis AlgernonCOMMA 1878-1946,hsc1307,EvansCOMMA JonathanCOMMA 1843-1911,M,0-10,,,,,Montrose (Susquehanna CountyCOMMA Pa.),,This letter was sent with Rachel Cope Evans' letter of the same dateCOMMA cataloged under hsc1299.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6420,6420,4551.cpd
1880 August 28COMMA MontroseCOMMA to My dearest husband,1880-08-28,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1299,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,EvansCOMMA Francis AlgernonCOMMA 1878-1946; HartshorneCOMMA HenryCOMMA 1823-1897; EvansCOMMA Anna CopeCOMMA 1875-1967; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,,Children--Health and hygiene; Letter writing,,Montrose (Susquehanna CountyCOMMA Pa.),,This letter was accompanied by a letter of the same date written by Francis Algernon EvansCOMMA cataloged under hsc1307.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6424,6424,4555.cpd
1880 September 15COMMA MontroseCOMMA to My dearest husband,1880-09-15,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1301,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; HotchkissCOMMA Anne MariaCOMMA b. 1832; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,,Weather; Children; Quakers--Anecdotes; Quakers--Humor,,Montrose (Susquehanna CountyCOMMA Pa.),,This letter was accompanied by a letter written by Anna Cope EvansCOMMA cataloged separately under hsc1308.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6430,6430,4561.cpd
1880 September 15COMMA to Papa,1880-09-15,EvansCOMMA Anna CopeCOMMA 1875-1967,hsc1308,EvansCOMMA JonathanCOMMA 1843-1911,F,0-10,,,,,Montrose (Susquehanna CountyCOMMA Pa.),,This letter was sent with Rachel Cope Evans' letter of the same dateCOMMA cataloged under hsc1301.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6432,6432,4563.cpd
1880 September 17COMMA to Papa,1880-09-17,EvansCOMMA Francis AlgernonCOMMA 1878-1946,hsc1309,EvansCOMMA JonathanCOMMA 1843-1911,M,0-10,,,,,Montrose (Susquehanna CountyCOMMA Pa.),,This letter was sent with Rachel Cope Evans' letter of the same dateCOMMA cataloged separately under hsc1302.    The letter was most likely composed in part with the assistance of his mother.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6435,6435,4566.cpd
1880 September 17COMMA MontroseCOMMA to My dearest husband,1880-09-17,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1302,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; CopeCOMMA Francis HazenCOMMA 1859-1909,Annie,Children; Pets; Medicine,,Montrose (Susquehanna CountyCOMMA Pa.),,This letter was accompanied by a letter by Francis Algernon EvansCOMMA cataloged separately under hsc1309.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6440,6440,4571.cpd
1881 August 16COMMA NewportCOMMA to Papa,1881-08-16,EvansCOMMA Anna CopeCOMMA 1875-1967,hsc1318,EvansCOMMA JonathanCOMMA 1843-1911,F,0-10,CopeCOMMA Rachel ReeveCOMMA 1794-1863,Annie; Aunty Nan,Birthdays; Letter writing,,Newport (R.I.),,Written with the assistance of Rachel C. Evans in her hand.  Letter was sent with and kept with letters of the same date by Rachel C. Evans and Francis Algernon Evans. [hsc1316 & hsc1317],English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6443,6443,4574.cpd
1880 September 22COMMA MontroseCOMMA to My dear husband,1880-09-22,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1304,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,HotchkissCOMMA Anne MariaCOMMA b. 1832; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,Business; Stress (Psychology); Voyages and Travels; Children; Letter writing,Catskill (N.Y.),Montrose (Susquehanna CountyCOMMA Pa.),,Letter mentions an accompanying letter by Francis Algernon EvansCOMMA the present status of which is unknown.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6447,6447,4578.cpd
1881 August 16COMMA NewportCOMMA to My dear papa,1881-08-16,EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1317,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M; F,0-10 30-40,,Rosie,,,Newport (R.I.),,Letter co-written Rachel Cope EvansCOMMA in her hand and with her assistance.  Letter was sent and kept with those of the same date by Rachel Cope Evans and Anna Cope Evans. [hsc1316 & hsc1318],English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6450,6450,4581.cpd
"1881 August 16COMMA NewportCOMMA to My ""dearest dear""",1881-08-16,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1316,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953,Edward H.; J. Jenkins; Wilbur,Health; Children--Health and hygiene; Child rearing; Newport (R.I.)--Description and Travel; Transportation,Newport (R.I.),Newport (R.I.),,Letter was sent and kept with letters of the same date by Francis Algernon Evans and Anna Cope Evans. [hsc1317 & hsc1318],English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6457,6457,4588.cpd
1881 July 20COMMA NewportCOMMA to My dear husband,1881-07-20,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1310,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA MargaretCOMMA 1856-1948; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; NewlinCOMMA MaryCOMMA b. 1850; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909,Annie; Abby Marshall; Mary Marshall; Eleanor,Newport (R.I.)--Description and Travel; Outdoor recreation; Children's clothing,,Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6463,6463,4594.cpd
1881 July 25COMMA NewportCOMMA to My dear husband,1881-07-25,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1311,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Hannah BaconCOMMA 1839-1939; YarnallCOMMA Margaret; BurroughsCOMMA Matthew; YarnallCOMMA Ellis H.COMMA 1817-1905; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Francis ReeveCOMMA 1821-1909;,Mrs. Bateman; Cohenfield,Newport (R.I.)--Description and Travel; Weather; Children's clothing; Brandy,Newport (R.I.); Mount Desert Island (Me.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6469,6469,4600.cpd
1881 July 26COMMA NewportCOMMA to My dearest husbandCOMMA Philadelphia,1881-07-26,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1312,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Hannah BaconCOMMA 1839-1939; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Anna CopeCOMMA 1875-1967,Annie; Timothy,,Newport (R.I.); Maryland,Newport (R.I.),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6476,6476,4607.cpd
1881 August 8COMMA NewportCOMMA to My own dear gudeman,1881-08-08,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1314,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; CopeCOMMA Francis ReeveCOMMA 1821-1909; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946,,,,Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6481,6481,4612.cpd
1881 August 7COMMA NewportCOMMA to My dearest husband,1881-08-07,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1313,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Francis ReeveCOMMA 1821-1909; HainesCOMMA Mary RhoadsCOMMA 1819-1905; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Hannah BaconCOMMA 1839-1939; EvansCOMMA Francis AlgernonCOMMA 1878-1946; CopeCOMMA AlfredCOMMA 1857-1897; BrownCOMMA Elizabeth H.COMMA b. 1840?; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; StorkCOMMA Anna Brown CopeCOMMA b. 1862; EvansCOMMA Francis AlgernonCOMMA 1878-1946;,Mrs. Hall; Carrie Hartshorne; Nellie Baldwin,Hotels; Weather; Death; Bereavement; Family,Newport (R.I.); Mount Desert Island (Me.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6490,6490,4621.cpd
1881 August 9COMMA NewportCOMMA to My dear husband,1881-08-09,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1315,EvansCOMMA JonathanCOMMA 1843-1911,F,30-40,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; StorkCOMMA Anna Brown CopeCOMMA b. 1862; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA ClementineCOMMA 1835-1903; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946,Nurse Kernan,Housing; Newport (R.I.)--Description and Travel; Family; Children; Health,Newport (R.I.); Mount Desert Island (Me.); Coddington's Cove (R.I.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6498,6498,4629.cpd
1832COMMA to My Dear CousinCOMMA Philadelphia,1832,ShoemakerCOMMA Margaret,hsc0924,BrownCOMMA Elizabeth S.,F,,NewboldCOMMA Sarah,Cousin C.; Isaac; Anna,Children,,,Philadelphia,Photocopy. Original letter not present.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6501,6501,4632.cpd
